Series,Race,Div,Showed up,Scored,No result,No result %
At Home,r1,Combined,10,10,0,0
At Home,r2,Combined,4,4,0,0
At Home,r3,Combined,6,6,0,0
At Home,r4,Combined,13,13,0,0
At Home,r5,Combined,8,6,2,25
Autumn,r1,1,9,9,0,0
Autumn,r1,2,13,13,0,0
Autumn,r1,3,8,8,0,0
Autumn,r2,1,3,1,2,66
Autumn,r2,2,8,7,1,12
Autumn,r2,3,4,4,0,0
Autumn,r3,1,7,7,0,0
Autumn,r3,2,11,11,0,0
Autumn,r3,3,9,9,0,0
Autumn,r4,1,7,7,0,0
Autumn,r4,2,10,10,0,0
Autumn,r4,3,7,6,1,14
Autumn,r5,1,7,5,2,28
Autumn,r5,2,10,8,2,20
Christmas,r1,1,6,4,2,33
Christmas,r1,2,9,9,0,0
Christmas,r1,3,8,7,1,12
Christmas,r2,1,9,9,0,0
Christmas,r2,2,12,12,0,0
Christmas,r2,3,9,9,0,0
Christmas,r3,1,9,9,0,0
Christmas,r3,2,12,12,0,0
Classics,r1,Combined,3,3,0,0
Classics,r2,Combined,2,1,1,50
Classics,r3,Combined,2,2,0,0
Classics,r4,Combined,3,3,0,0
Classics,r5,Combined,2,2,0,0
Classics,r6,Combined,4,4,0,0
Island Bay,r1,1,8,8,0,0
Island Bay,r1,2,11,11,0,0
Island Bay,r1,3,7,6,1,14
Island Bay,r1,Open,1,1,0,0
Island Bay,r2,1,4,4,0,0
Island Bay,r2,2,9,9,0,0
Island Bay,r2,3,7,7,0,0
Island Bay,r2,Open,1,1,0,0
New Year,r1,1,7,7,0,0
New Year,r1,2,12,12,0,0
New Year,r1,3,8,8,0,0
New Year,r2,1,7,6,1,14
New Year,r2,2,12,12,0,0
New Year,r2,3,6,5,1,16
New Year,r3,1,3,1,2,66
New Year,r3,2,12,12,0,0
New Year,r3,3,5,5,0,0
New Year,r4,1,6,4,2,33
New Year,r4,2,14,14,0,0
New Year,r5,1,2,2,0,0
New Year,r5,2,10,9,1,10
Offshore,Bay of Many Coves,Combined,5,1,4,80
Offshore,Brothers,Combined,13,13,0,0
Offshore,Cook Strait Classic,Combined,16,16,0,0
Offshore,Nelson,Combined,9,8,1,11
PNR,r1,A,9,6,3,33
PNR,r1,B,19,18,1,5
PNR,r2,A,9,6,3,33
PNR,r2,B,19,18,1,5
PNR,r3,A,9,6,3,33
PNR,r3,B,19,18,1,5
PNR,r4,A,9,5,4,44
PNR,r4,B,19,18,1,5
PNR,r5,A,9,4,5,55
PNR,r5,B,19,14,5,26
PNR,r6,A,9,9,0,0
PNR,r6,B,19,19,0,0
PNR,r7,A,9,9,0,0
PNR,r7,B,19,18,1,5
PNR,r8,A,9,5,4,44
PNR,r8,B,19,17,2,10
Rum,r1,Combined,18,13,5,27
Rum,r10,Combined,8,7,1,12
Rum,r2,Combined,7,7,0,0
Rum,r3,Combined,7,7,0,0
Rum,r4,Combined,5,5,0,0
Rum,r5,Combined,8,7,1,12
Rum,r6,Combined,10,10,0,0
Rum,r7,Combined,5,5,0,0
Rum,r8,Combined,11,11,0,0
Rum,r9,Combined,7,3,4,57
Special,Anzac,Combined,5,3,2,40
Special,Commodore's Trophy,Combined,24,24,0,0
Special,Crews,Combined,10,10,0,0
Spring,r1,1,2,2,0,0
Spring,r1,2,7,7,0,0
Spring,r1,3,4,3,1,25
Spring,r1,Open,1,1,0,0
Spring,r2,1,8,8,0,0
Spring,r2,2,12,12,0,0
Spring,r2,3,5,4,1,20
Spring,r2,Open,1,1,0,0
Spring,r3,1,8,8,0,0
Spring,r3,2,11,11,0,0
Spring,r3,3,8,8,0,0
Spring,r4,1,8,8,0,0
Spring,r4,2,12,12,0,0
Twilight 1,r1,Combined,2,2,0,0
Twilight 1,r2,Combined,7,7,0,0
Twilight 1,r3,Combined,10,10,0,0
Twilight 1,r4,Combined,7,7,0,0
Twilight 1,r5,Combined,10,10,0,0
Twilight 2,r1,Combined,11,10,1,9
Twilight 2,r2,Combined,11,9,2,18
Twilight 2,r3,Combined,10,9,1,10
Two-handed,r1,Combined,10,10,0,0
Two-handed,r2,Combined,7,7,0,0
Two-handed,r3,Combined,9,3,6,66
